"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.795013040E-1	-3.851248026E0	4.430311203E0	6.972685337E0	9.114719388E0
2.804995330E-1	-3.821337700E0	4.417150497E0	6.937989235E0	9.069152935E0
2.814969290E-1	-3.795016766E0	4.403990269E0	6.915257454E0	9.034271868E0
2.824934910E-1	-3.771088600E0	4.388436794E0	6.903293133E0	9.007493703E0
2.834897410E-1	-3.742374659E0	4.375276089E0	6.863811970E0	8.958812627E0
2.844869290E-1	-3.710071564E0	4.369294167E0	6.837490559E0	8.922255301E0
2.854837520E-1	-3.688536167E0	4.358526230E0	6.814758778E0	8.890612305E0
2.864814600E-1	-3.667000771E0	4.342973232E0	6.784848690E0	8.851128905E0
2.874787000E-1	-3.627519131E0	4.340580463E0	6.790830612E0	8.838264208E0
2.884767200E-1	-3.589233875E0	4.356133461E0	6.798008919E0	8.835803518E0
2.894731270E-1	-3.573680639E0	4.366901398E0	6.754938126E0	8.801716322E0
2.904690640E-1	-3.552145243E0	4.374079704E0	6.733402729E0	8.780035387E0
2.914644290E-1	-3.518645763E0	4.382454872E0	6.696314335E0	8.742276842E0
2.924605750E-1	-3.497110367E0	4.406383038E0	6.668796539E0	8.724611147E0
2.934567720E-1	-3.475574970E0	4.432703972E0	6.673582554E0	8.732994331E0
2.944542720E-1	-3.464807272E0	4.465006828E0	6.673582554E0	8.745163207E0
2.954514080E-1	-3.462414265E0	4.497310162E0	6.690331936E0	8.773519969E0
2.964495330E-1	-3.458825111E0	4.506881237E0	6.708278179E0	8.790702234E0
2.974475020E-1	-3.467200041E0	4.515256405E0	6.722635269E0	8.809247498E0
2.984453140E-1	-3.474378586E0	4.526023865E0	6.738188744E0	8.829461259E0
2.994422930E-1	-3.471985579E0	4.537988186E0	6.751348972E0	8.844700876E0
3.004395850E-1	-3.483949661E0	4.541577339E0	6.771687984E0	8.866768754E0
3.014382830E-1	-3.504288673E0	4.552345276E0	6.814758778E0	8.913182586E0
3.024395330E-1	-3.524627686E0	4.557130814E0	6.854240417E0	8.953828973E0
3.034368770E-1	-3.534198999E0	4.561916351E0	6.890132904E0	8.987523285E0
3.044303140E-1	-3.541377544E0	4.571487427E0	6.929614544E0	9.025486687E0
3.054259390E-1	-3.535395384E0	4.578666210E0	6.945167542E0	9.038725406E0
3.064248970E-1	-3.534198999E0	4.579862595E0	6.961917400E0	9.051740045E0
3.074233870E-1	-3.530609846E0	4.560719967E0	6.975078106E0	9.050805880E0
3.084214080E-1	-3.534198999E0	4.543970108E0	6.983452797E0	9.050239769E0
3.094181270E-1	-3.541377544E0	4.543970108E0	7.009773731E0	9.073364702E0
3.104148970E-1	-3.535395384E0	4.548755646E0	7.043273449E0	9.099335103E0
3.114113560E-1	-3.523431301E0	4.553541660E0	7.068397999E0	9.116554177E0
3.124088560E-1	-3.517449379E0	4.542773724E0	7.079165936E0	9.117227297E0
3.134063560E-1	-3.500699520E0	4.529613495E0	7.081558704E0	9.106084187E0
3.144051060E-1	-3.477967739E0	4.515256405E0	7.074379921E0	9.084638202E0
3.154027620E-1	-3.452843189E0	4.497310162E0	7.069594383E0	9.062399766E0
3.163993250E-1	-3.438486099E0	4.475774765E0	7.070790768E0	9.047200035E0
3.173892200E-1	-3.426522017E0	4.461417675E0	7.077969551E0	9.041180994E0
3.183737000E-1	-3.394218922E0	4.455435753E0	7.077969551E0	9.026033614E0
3.193655220E-1	-3.330809116E0	4.442275047E0	7.092326164E0	9.007174218E0
3.203646890E-1	-3.266202927E0	4.424329281E0	7.106683254E0	8.985973404E0
3.213618770E-1	-3.219542980E0	4.425525665E0	7.137789726E0	8.994374719E0
3.223570850E-1	-3.171686411E0	4.432703972E0	7.170093060E0	9.006591679E0
3.233533350E-1	-3.113062143E0	4.421936035E0	7.235895634E0	9.033430125E0
3.243519810E-1	-3.037688255E0	4.412364960E0	7.296912670E0	9.052151622E0
3.253504700E-1	-2.736192703E0	4.405186653E0	7.342376232E0	8.989043814E0
3.263488040E-1	-2.703889608E0	4.412364960E0	7.373483181E0	9.008231667E0
3.273462000E-1	-2.645265341E0	4.439882278E0	7.721638680E0	9.291592289E0
3.283426580E-1	-2.563909531E0	4.457828522E0	7.744370461E0	9.296297168E0
3.293396890E-1	-2.248056889E0	4.441078663E0	7.779066563E0	9.235302705E0
3.303385430E-1	-2.196611166E0	4.398007870E0	7.807780266E0	9.226538165E0
3.313367200E-1	-1.855633974E0	4.223331928E0	7.831708431E0	9.089310588E0
3.323342200E-1	-1.825723648E0	4.088137627E0	7.862815380E0	9.048204341E0
3.333310950E-1	-1.804188251E0	4.057030678E0	7.881958008E0	9.046538300E0
3.343285950E-1	-1.814955950E0	3.780659676E0	7.910671711E0	8.953556813E0
